CBSA,ZIP,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
10100,57422,ANDOVER,SD,0.000270258,0.000000000,0.000000000,0.000229832
10100,57402,ABERDEEN,SD,0.042025134,0.126692879,0.001237624,0.046924079
10100,57439,FERNEY,SD,0.000900860,0.000000000,0.000618812,0.000804413
10100,57456,LEOLA,SD,0.000045043,0.000000000,0.000000000,0.000038305
10100,57451,IPSWICH,SD,0.042565650,0.019222368,0.017945545,0.038994867
10100,57401,ABERDEEN,SD,0.739155894,0.795107034,0.909653465,0.754615797
10100,57475,TOLSTOY,SD,0.001441377,0.000000000,0.000000000,0.001225772
10100,57445,GROTON,SD,0.045583532,0.024464832,0.038366337,0.043285069
10100,57433,COLUMBIA,SD,0.011035539,0.003494976,0.003712871,0.009921091
10100,57448,HOSMER,SD,0.006170893,0.000436872,0.001856436,0.005401057
10100,57435,CRESBARD,SD,0.000630602,0.000000000,0.000000000,0.000536275
10100,57454,LANGFORD,SD,0.000045043,0.000000000,0.000000000,0.000038305
10100,57479,WARNER,SD,0.011576055,0.001747488,0.004950495,0.010304145
10100,57428,BOWDLE,SD,0.010449980,0.002621232,0.004331683,0.009384816
10100,57460,MANSFIELD,SD,0.005765506,0.000000000,0.000000000,0.004903087
10100,57434,CONDE,SD,0.001666592,0.001747488,0.000000000,0.001570520
10100,57427,BATH,SD,0.013332733,0.003494976,0.003712871,0.011874665
10100,57441,FREDERICK,SD,0.014864195,0.005679336,0.004331683,0.013406880
10100,57449,HOUGHTON,SD,0.004639431,0.000873744,0.000000000,0.004022064
10100,57474,STRATFORD,SD,0.005630377,0.003058104,0.001856436,0.005171225
10100,57426,BARNARD,SD,0.001171118,0.000000000,0.000618812,0.001034245
10100,57466,ONAKA,SD,0.000945903,0.000000000,0.000000000,0.000804413
10100,57471,ROSCOE,SD,0.012341786,0.002184360,0.004950495,0.010993641
10100,57446,HECLA,SD,0.014098464,0.001310616,0.000618812,0.012142802
10100,57481,WESTPORT,SD,0.007477141,0.000873744,0.000618812,0.006473608
10100,57432,CLAREMONT,SD,0.006035764,0.006989952,0.000618812,0.005784111
10100,57461,MELLETTE,SD,0.000135129,0.000000000,0.000000000,0.000114916
10140,98537,COSMOPOLIS,WA,0.032992348,0.014774775,0.201266245,0.043751036
10140,98568,OAKVILLE,WA,0.027781587,0.005765766,0.002665778,0.024550771
10140,98562,MOCLIPS,WA,0.003565258,0.001801802,0.072975675,0.008380880
10140,98571,PACIFIC BEACH,WA,0.000219400,0.000000000,0.114628457,0.008333531
10140,98547,GRAYLAND,WA,0.007459617,0.003603604,0.028657114,0.008712327
10140,98536,COPALIS CROSSING,WA,0.002056880,0.000360360,0.000333222,0.001822960
10140,98575,QUINAULT,WA,0.002797356,0.001441441,0.000333222,0.002533204
10140,98579,ROCHESTER,WA,0.000219400,0.000000000,0.000000000,0.000189398
10140,98569,OCEAN SHORES,WA,0.165811919,0.092252252,0.076307897,0.154620138
10140,98583,SATSOP,WA,0.000000000,0.000000000,0.000333222,0.000023675
10140,98595,WESTPORT,WA,0.023174177,0.016216216,0.044651783,0.024242998
10140,98535,COPALIS BEACH,WA,0.002824781,0.001081081,0.062645785,0.006960392
10140,98520,ABERDEEN,WA,0.306200806,0.516036036,0.171609464,0.310424016
10140,98559,MALONE,WA,0.000027425,0.000720721,0.000000000,0.000071024
10140,98550,HOQUIAM,WA,0.165674794,0.168648649,0.092969010,0.160704562
10140,98552,HUMPTULIPS,WA,0.002002029,0.003243243,0.007330890,0.002462180
10140,98541,ELMA,WA,0.103282780,0.054774775,0.025658114,0.094580838
10140,98566,NEILTON,WA,0.000000000,0.000000000,0.002665778,0.000189398
10140,98526,AMANDA PARK,WA,0.002221430,0.005045045,0.003998667,0.002533204
10140,98557,MCCLEARY,WA,0.044373749,0.015135135,0.006331223,0.039749994
10140,98587,TAHOLAH,WA,0.000000000,0.000000000,0.039320227,0.002793627
10140,98563,MONTESANO,WA,0.107314264,0.099099099,0.045318227,0.102369848
