year,operator_id,operator_name,n_ccns,n_states,state_codes,cbsa_codes,Gross Patient Revenues Title XVIII Medicare,Gross Patient Revenues Title XIX Medicaid,Gross Patient Revenues Other,Gross Patient Revenues Total,Net Patient Revenues (line 1 minus line 2) XVIII Medicare,Net Patient Revenues (line 1 minus line 2) XIX Medicaid,Net Patient Revenues (line 1 minus line 2) Other,Net Patient Revenues (line 1 minus line 2) Total,Total Cost,Total HHA Medicare Program Cost,"Total, Total Visits",Total Episodes-Total Visits,Total Episodes-Total Charges,Less Total Operating Expenses (sum of lines 4 through 16),Net Income from service to patients (line 3 minus line 17),Net Income or Loss for the period (line 18 plus line 32),Total Assets,Total Liabilities,Fund Balance,Total PPS Payment - full episodes/periods without outliers,Total PPS Payment - full episodes/periods with outliers,Total PPS Payment - LUPA episodes/periods,Total PPS Payment - PEP episodes/periods,Total Hospice Days Total,Total Hospice Expenses
2020,1,HAAKSMA SPEECH PATHOLOGY INC.,1,1,CO,19740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2,AMERIBEST HOME CARE  INC.,1,1,PA,37980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3,PAMPERING PLUS  INC.,1,1,PA,37980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4,PERITECH HOME HEALTH ASSOCIATES  INC,1,1,PA,20180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,5,PERITECH HHS  INC.,1,1,PA,20180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,6,ACCLAIM HOME HEALTH SERVICES  INC.,1,1,OH,17140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,7,BOUAHOM HEALTH MANAGEMENT  INC,1,1,OH,17140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,8,MOORE GENUINE CARE,1,1,WI,20740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,9,EXPEDIENT HOME HEALTH CARE,1,1,TX,19100,1678217.0,0.0,0.0,1678217.0,1678217.0,0.0,0.0,1678217.0,1992481.0,1992498.0,7867.0,7867.0,1035868.0,2164026.0,-485809.0,-377190.0,308339.0,228168.0,80171.0,1673166.0,9637.0,13892.0,6543.0,0.0,0.0
2020,10,SENIOR PRO SERVICES  LLC,1,1,CA,41860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,11,HART THERAPY  INC.,1,1,CO,19740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,12,SOLACE HEALTHCARE  INC.,1,1,CO,19740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,13,CAPITAL CARE  INC.,1,1,DC,47900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,14,HOPE HOME HEALTH CARE,1,1,IN,16980,999931.0,0.0,663787.0,1663718.0,999931.0,0.0,663787.0,1663718.0,1037252.0,611362.0,9558.0,5480.0,670975.0,1105679.0,558039.0,558039.0,541525.0,284508.0,257017.0,947324.0,37776.0,6803.0,1172.0,0.0,0.0
2020,15,ULTIMATE NURSING SERVICES OF IOWA  I,3,1,IA,19780|99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,16,ULTIMATE NURSING SERVICES OF IOWA,2,1,IA,19780|43580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,17,AMBERSTAR HOME HEALTH LLC,1,1,OH,18140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,18,HOME HEALTH SPECIALIST  INC.,1,1,PA,37980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,19,CAMBRIA HOME HEALTH  INC.,1,1,PA,27780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,20,HOME TO STAY  INC.,1,1,PA,25420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,21,A & E HOME CARE  LLC,1,1,PA,10900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,22,FOREVER YOUNG HOME CARE AGENCY  INC.,1,1,PA,37980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,23,ULTIMATE HOME HEALTH CARE,3,3,CA|IL|PA,16980|31080|37980,989554.0,0.0,5950.0,995504.0,988109.0,0.0,5950.0,994059.0,1031909.0,957798.0,4799.0,4570.0,890836.0,1070895.0,-76836.0,-30558.0,739162.0,567313.0,171849.0,974892.0,47059.0,6237.0,0.0,0.0,0.0
2020,24,365 HEALTH SERVICES LLC,1,1,PA,37980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,25,NIGHTINGALE HOME HEALTH LLC,1,1,CA,40900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,26,AADI HOME HEALTH,1,1,TX,18580,3239227.0,29039.0,1266523.0,4534789.0,3239227.0,29039.0,1266523.0,4534789.0,3172288.0,3077801.0,32505.0,19621.0,2860900.0,3386140.0,1148649.0,1148649.0,5199374.0,3196030.0,2003344.0,3126713.0,155897.0,18718.0,24077.0,0.0,0.0
2020,27,HEAVENLY HOST INC,1,1,TX,19100,227007.0,0.0,1985121.0,2212128.0,227007.0,0.0,1985121.0,2212128.0,114734.0,106668.0,1058.0,973.0,126843.0,1859935.0,352193.0,352193.0,1104154.0,73007.0,1031147.0,227033.0,2864.0,147.0,133.0,0.0,0.0
2020,28,VIBRANT HOME HEALTH CARE INC,1,1,TX,19100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,29,STEWARD HOME HEALTHCARE,1,1,TX,19100,219018.0,0.0,0.0,219018.0,219018.0,0.0,0.0,219018.0,185692.0,198630.0,1453.0,1587.0,238050.0,207661.0,11357.0,11357.0,-4165.0,7181.0,-11346.0,137932.0,47316.0,1008.0,1170.0,0.0,0.0
2020,30,CLASSIC HEALTH SERVICES  INC,1,1,IL,16980,713882.0,18361.0,59977.0,792220.0,705646.0,18361.0,59977.0,783984.0,768503.0,583082.0,3629.0,2759.0,596480.0,793174.0,-9190.0,28633.0,179249.0,243917.0,-64668.0,732580.0,14915.0,1984.0,6281.0,0.0,0.0
2020,31,NEWSOME HOME HEALTH CARE,1,1,IL,16980,7885692.0,0.0,6886013.0,14771705.0,7885692.0,0.0,6886013.0,14771705.0,11676931.0,4892331.0,92785.0,38224.0,8351920.0,12051895.0,2719810.0,4050426.0,3587554.0,202973.0,3384581.0,7104758.0,615593.0,66541.0,20716.0,0.0,0.0
2020,32,BRIGHAM HOME CARE SVCS INC,1,1,MA,14460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,33,HOME HEALTH CARE SOLUTIONS LTD,1,1,OH,46780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,34,BEST CHOICE HOME HEALTHCARE LLC,1,1,OH,18140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,35,CUIDADO CASERO HOME HEALTH CENTRAL,1,1,TX,19100,3118115.0,0.0,0.0,3118115.0,3118115.0,0.0,0.0,3118115.0,636700.0,677365.0,5002.0,5310.0,964930.0,2768837.0,349278.0,349304.0,1850690.0,1773469.0,77221.0,1275087.0,4808.0,8220.0,5624.0,0.0,0.0
2020,36,CUIDADO CASERO HOME HEALTH OF EL PAS,1,1,TX,19100,6516956.0,0.0,0.0,6516956.0,6516956.0,0.0,0.0,6516956.0,540799.0,96313.0,6064.0,2928.0,487160.0,6025277.0,491679.0,491679.0,3828228.0,601955.0,3226273.0,500485.0,12673.0,5626.0,1770.0,0.0,0.0
2020,37,CRITRION HEALTH CARE INC,1,1,TX,19100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,38,AMERIPRO HEALTHCARE GROUP LLC,1,1,TX,26420,696373.0,0.0,36487.0,732860.0,696373.0,0.0,36487.0,732860.0,803395.0,669712.0,5216.0,4276.0,797310.0,1150415.0,-417555.0,-92772.0,284816.0,537146.0,-252330.0,733919.0,15269.0,2664.0,1548.0,0.0,0.0
2020,39,ALERT HOME HEALTH CARE  INC.,1,1,IL,16980,1823413.0,0.0,0.0,1823413.0,1823413.0,0.0,0.0,1823413.0,1503065.0,1226574.0,6062.0,5874.0,734250.0,1610251.0,213162.0,213162.0,869916.0,504516.0,365400.0,1948857.0,4996.0,14565.0,773.0,0.0,0.0
2020,40,FRANKUR HOMECARE SERVICES,1,1,MA,14460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,41,TRUEVINE HEALTH CARE  LLC,1,1,OK,36420,616533.0,6537.0,245798.0,868868.0,616533.0,6537.0,245798.0,868868.0,910024.0,672215.0,5953.0,4133.0,579638.0,971964.0,-103096.0,-47021.0,23236.0,55075.0,-31839.0,579936.0,52730.0,3847.0,2506.0,0.0,0.0
2020,42,COMPASSIONATE HOME HEALTH OF OKC,1,1,OK,36420,282397.0,87192.0,28855.0,398444.0,282397.0,87192.0,28855.0,398444.0,285479.0,277066.0,2028.0,1793.0,247353.0,323017.0,75427.0,75427.0,69827.0,57616.0,12211.0,359417.0,3499.0,823.0,3181.0,0.0,0.0
2020,43,ALTOMAR HOME HEALTH CARE  INC.,1,1,TX,21340,551652.0,14439.0,9377374.0,9943465.0,530569.0,1509.0,4902268.0,5434346.0,3158972.0,262524.0,34277.0,3133.0,562191.0,5355497.0,78849.0,883535.0,1077700.0,575269.0,502431.0,339233.0,52916.0,11290.0,2027.0,0.0,0.0
2020,44,GLORY ABLE HOME HEALTHCARE INC,1,1,TX,19100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,45,FIRST CARE HOME SVCS INC.,1,1,FL,33100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,46,DEPENDABLE NIGHTINGALES AGENCY,1,1,FL,36740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,47,COMMUNTIY HOME CARE SERVICES,1,1,IN,99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,48,NM CUIDADO CASERO HOME HEALTH SERVIC,1,1,NM,29740,4543322.0,0.0,0.0,4543322.0,4543322.0,0.0,0.0,4543322.0,709225.0,359929.0,7578.0,3743.0,631320.0,4028215.0,515107.0,538895.0,2449655.0,419930.0,2029725.0,664051.0,17826.0,1353.0,0.0,0.0,0.0
2020,49,ULTIMATE HOME HEALTHCARE SERVICES,1,1,OH,18140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,50,MED1CARE  LLC,1,1,OH,22300,1064414.0,3431489.0,6601538.0,11097441.0,1064414.0,3431489.0,6601538.0,11097441.0,8533016.0,1066875.0,272651.0,7234.0,1062611.0,9988402.0,1109039.0,2481783.0,479741.0,479741.0,0.0,795358.0,156943.0,9613.0,2317.0,0.0,0.0
2020,51,COMFORT CARE HOME HEALTH,1,1,OK,36420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268414.0,204483.0,3189.0,1797.0,185925.0,268520.0,-268520.0,-268520.0,13335.0,80786.0,-67451.0,149144.0,36747.0,137.0,515.0,0.0,0.0
2020,52,COUNTRY STYLE INC XI,1,1,OK,22900,491048.0,883.0,90572.0,582503.0,491048.0,883.0,90572.0,582503.0,644543.0,512850.0,4899.0,4093.0,613950.0,688842.0,-106339.0,-106339.0,147496.0,367955.0,-220459.0,733097.0,5247.0,7980.0,878.0,0.0,0.0
2020,53,COUNTRY STYLE INC XII,1,1,OK,99999,924765.0,4046.0,285530.0,1214341.0,924765.0,4046.0,285530.0,1214341.0,821659.0,298839.0,13309.0,5546.0,831750.0,1060966.0,153375.0,153375.0,395981.0,928043.0,-532062.0,949480.0,4988.0,10264.0,4299.0,0.0,0.0
2020,54,SINCERE HOME HEALTH CARE. INC.,1,1,TX,19100,771303.0,0.0,0.0,771303.0,771303.0,0.0,0.0,771303.0,663172.0,1136972.0,3003.0,3050.0,273102.0,675210.0,96093.0,235593.0,169532.0,169532.0,0.0,764851.0,3782.0,6062.0,965.0,0.0,0.0
2020,55,PARIS SIGNATURE HOME HEALTH  INC,1,1,TX,37580,2097810.0,0.0,624258.0,2722068.0,2097810.0,0.0,624258.0,2722068.0,1921380.0,1225331.0,23346.0,13045.0,1233308.0,1998825.0,723243.0,870839.0,1545772.0,6334.0,1539438.0,2164870.0,0.0,9857.0,8513.0,0.0,0.0
