year,operator_id,HHA Name,rpt_rec_num,Provider CCN,Street Address,City,State Code,Zip Code,cbsa_cd,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,HHA-based Hospice Provider CCN,"Total, Medicare Title XVIII Visits","Total, Medicaid Title XIX Visits","Total, Other Visits","Total, Total Visits",Total Episodes-Total Visits,Total Episodes-Total Charges,Total Cost,Total HHA Medicare Program Visits,Total HHA Medicare Program Cost,Gross Patient Revenues Title XVIII Medicare,Gross Patient Revenues Title XIX Medicaid,Gross Patient Revenues Other,Gross Patient Revenues Total,Less: Allowances and discounts on patients' accounts Title XVIII Medicare,Less: Allowances and discounts on patients' accounts Title XIX Medicaid,Less: Allowances and discounts on patients' accounts Other,Less: Allowances and discounts on patients' accounts Total,Net Patient Revenues (line 1 minus line 2) XVIII Medicare,Net Patient Revenues (line 1 minus line 2) XIX Medicaid,Net Patient Revenues (line 1 minus line 2) Other,Net Patient Revenues (line 1 minus line 2) Total,Less Total Operating Expenses (sum of lines 4 through 16),Net Income from service to patients (line 3 minus line 17),Total Other Income (sum of lines 19 through 31),Net Income or Loss for the period (line 18 plus line 32),Total PPS Payment - full episodes/periods without outliers,Total PPS Payment - full episodes/periods with outliers,Total PPS Payment - LUPA episodes/periods,Total PPS Payment - PEP episodes/periods,Total PPS Outlier Payment - full episodes/periods with outliers,Total PPS Outlier Payment - PEP episodes/periods,Allowable Bad Debts,Adjusted Reimbursable Bad Debts,Total Current Assets,Total Fixed Assets,Total Assets,Total Current Liabilities,Total Long Term Liabilities,Total Liabilities,Fund Balance,Total Liabilities and Fund Balances,Total Hospice Days Title XVIII Medicare,Total Hospice Days Title XIX Medicaid,Total Hospice Days Title Other,Total Hospice Days Total,Total Hospice Expenses
2020,1,HAAKSMA SPEECH PATHOLOGY INC.,500000,67536,11479 PINE DRIVE,PARKER,CO,80134,19740,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2,AMERIBEST HOME CARE  INC.,500001,398064,990 SPRING GARDEN STREET,PHILADELPHIA,PA,19123,37980,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3,PAMPERING PLUS  INC.,500002,398111,1522 OLD YORK ROAD,ABINGTON,PA,19001,37980,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,4,PERITECH HOME HEALTH ASSOCIATES  INC,500003,398235,PO BOX 525,DUBOIS,PA,15801,20180,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,5,PERITECH HHS  INC.,500004,397630,PO BOX 525,DUBOIS,PA,15801,20180,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,6,ACCLAIM HOME HEALTH SERVICES  INC.,500005,367668,7566 CENTRAL PARK BLVD,MASON,OH,45040,17140,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,7,BOUAHOM HEALTH MANAGEMENT  INC,500006,368240,7564 CENTRAL PARKE BLVD,MASON,OH,45040,17140,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,8,MOORE GENUINE CARE,500007,527297,711 ANDERSON STREET,AUGUSTA,WI,54722-9002,20740,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,9,EXPEDIENT HOME HEALTH CARE,500009,679377,55 NOBLE COURT STE 110,ROCKWALL,TX,75032,19100,5,01/01/2020,12/31/2020,,7867,,,7867,7867,1035868,1992481,7867,1992498,1678217,,,1678217,,,,,1678217,,,1678217,2164026,-485809,108619,-377190,1673166,9637,13892,6543,638,,,,308339,,308339,,228168,228168,80171,308339,,,,,
2020,10,SENIOR PRO SERVICES  LLC,500010,59670,14798 WICKS BLVD,SAN LEANDRO,CA,94577,41860,3,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,11,HART THERAPY  INC.,500011,67498,2525 S. WADSWORTH BLVD,LAKEWOOD,CO,80227,19740,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,12,SOLACE HEALTHCARE  INC.,500012,67503,4500 E. CHERRY CREEK S. DR,GLENDALE,CO,80246,19740,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,13,CAPITAL CARE  INC.,500013,97075,6120 KANSAS AVE NW,WASHGINTON,DC,20011,47900,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,14,HOPE HOME HEALTH CARE,500015,157633,3800 W. 38TH LANE,MERRIVILLE,IN,46410,16980,5,01/01/2020,12/31/2020,,5547,,4011,9558,5480,670975,1037252,5480,611362,999931,,663787,1663718,,,,,999931,,663787,1663718,1105679,558039,,558039,947324,37776,6803,1172,13500,,,,535932,5593,541525,309,284199,284508,257017,541525,,,,,
2020,15,ULTIMATE NURSING SERVICES OF IOWA  I,500016,167249,6750 WESTOWN PKWY,WEST DES MOINES,IA,50266,19780,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,15,ULTIMATE NURSING SERVICES OF IOWA  I,500017,167316,115 N 3RD AVENUE W,NEWTON,IA,50208,19780,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,15,ULTIMATE NURSING SERVICES OF IOWA  I,500018,167321,PO BOX 158,SHELDON,IA,51201,99999,5,01/01/2020,12/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
